기간	자치구	노선수	수량	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별
기간	자치구	노선수	수량	은행나무	양버즘나무	느티나무	왕벚나무	은단풍나무	메타세콰이어	회화나무	가죽나무	감나무	수양버들	튜울립나무	칠엽수	포플러	느릅나무	살구나무	무궁화	소나무	목련	이팝나무	기타
2019	서울시	1,412	307,351	108,050	62,474	37,473	34,150	545	5,171	7,816	52	871	32	948	1,533	7	504	234	2,374	4,539	378	20,088	20,112
2019	종로구	70	7,329	4,072	1,071	619	421	-	1	140	1	-	8	-	17	-	-	-	-	239	-	711	29
2019	중구	48	8,250	3,640	162	460	289	-	-	176	-	-	-	7	-	-	-	21	46	2,162	-	470	817
2019	용산구	39	7,835	4,444	1,422	373	262	-	-	37	-	74	-	13	16	-	-	39	-	51	126	198	780
2019	성동구	38	8,120	1,090	2,401	1,975	602	29	48	325	33	146	-	-	1	3	59	-	-	53	-	709	646
2019	광진구	28	7,223	1,247	2,306	1,057	940	-	-	153	-	25	-	58	101	-	-	-	-	20	113	760	443
2019	동대문구	43	10,664	3,749	3,342	855	747	-	60	143	7	38	7	37	19	-	1	26	1	-	-	1,176	456
2019	중랑구	57	8,365	2,774	2,759	471	354	-	74	-	-	52	-	-	-	-	-	-	212	64	-	449	1,156
2019	성북구	78	8,449	2,722	1,282	1,014	1,656	66	65	38	-	91	-	4	-	-	-	9	5	97	-	853	547
2019	강북구	31	7,789	3,510	934	324	497	284	-	103	-	-	-	5	-	-	140	-	-	1,007	-	575	410
2019	도봉구	63	9,572	4,914	323	779	2,095	6	61	32	-	-	1	15	-	-	-	-	214	15	-	47	1,070
2019	노원구	50	14,489	6,505	3,336	1,165	1,612	-	285	41	-	1	-	-	-	-	26	58	150	32	1	142	1,135
2019	은평구	35	9,880	4,324	1,653	680	1,748	-	16	422	-	-	-	-	9	-	-	-	3	-	-	443	582
2019	서대문구	39	8,627	3,474	1,890	721	732	-	25	80	-	3	-	10	5	4	-	-	70	-	-	493	1,120
2019	마포구	92	14,538	3,353	3,581	3,056	1,096	-	474	967	-	102	-	-	-	-	-	64	-	124	93	1,280	348
2019	양천구	69	13,501	5,622	3,992	1,065	956	-	74	176	-	36	-	-	4	-	-	-	197	-	-	784	595
2019	강서구	55	13,719	3,977	706	2,231	2,508	-	1,651	201	-	-	-	-	110	-	-	-	59	282	-	1,426	568
2019	구로구	81	11,548	3,594	1,527	1,884	2,157	13	3	-	-	-	5	-	17	-	-	-	-	30	26	1,082	1,210
2019	금천구	30	6,603	3,545	1,024	407	1,123	-	35	177	-	27	-	-	7	-	-	-	-	5	-	184	69
2019	영등포구	114	18,220	5,879	3,439	3,419	2,952	147	51	99	-	57	-	12	174	-	-	-	-	40	19	1,281	651
2019	동작구	29	7,083	2,178	829	1,421	1,127	-	116	8	-	-	-	-	-	-	-	-	206	7	-	397	794
2019	관악구	32	10,154	2,280	2,188	185	2,416	-	95	149	-	219	-	-	-	-	-	-	1,120	59	-	249	1,194
2019	서초구	56	16,548	3,800	5,036	3,409	254	-	1,159	478	11	-	-	-	721	-	-	-	91	-	-	446	1,143
2019	강남구	60	23,349	7,210	7,559	2,991	2,455	-	864	524	-	-	-	65	-	-	-	-	-	-	-	768	913
2019	송파구	99	22,858	11,894	4,180	2,400	992	-	14	-	-	-	11	722	329	-	-	-	-	215	-	1,651	450
2019	강동구	66	17,152	5,474	4,284	2,417	2,309	-	-	57	-	-	-	-	-	-	-	-	-	-	-	642	1,969
2019	공원녹지사업소	1	236	179	26	24	-	-	-	-	-	-	-	-	3	-	-	-	-	-	-	4	-
2019	시설관리공단	9	15,250	2,600	1,222	2,071	1,850	-	-	3,290	-	-	-	-	-	-	278	17	-	37	-	2,868	1,017